controller,controller_type,scenario_name,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
a2c,agent,adverse_stress,0.5185977789102701,0.49053988011923627,0.5453519357838593,0.06995752046814628,0.06483122314478701,0.07633545625231378,300022.1813206803,284465.18921732315,314959.1596904523,293889.5907608306,278626.67690128024,308551.05221974396,367550.584260808,347068.6589882952,386938.4585442403,0.5606493545510839,0.5448506920146153,0.574493567876863,21205.55537370375,19295.434022848996,23520.62184953199,4.8744075354683254e-05,4.429998770813741e-05,5.290867500874208e-05,1.785047185295723,1.5334147093827262,2.0269470260656175,25825.507690662478,32798.93009228731
a2c,agent,base_market,0.5477510589954513,0.5160860453828009,0.5803707371553766,0.05711597401240093,0.05314386353102723,0.06026731029086006,358867.59511009866,328794.0141703265,387715.4501200268,351983.1909587619,322479.5352781245,380392.77469520306,439557.15692238923,403351.5910626005,474543.6316020345,0.5271106302238842,0.504417695964841,0.5493048030481317,30617.90492436659,26566.09560483078,34832.88860021706,3.433169394099519e-05,3.0119303288471954e-05,3.9548210614048135e-05,1.6802790373782512,1.3559458489213612,2.06704476296049,54207.009980292685,65234.11740872574
a2c,agent,class_imbalance_shift,0.5115798876108398,0.47229023139337434,0.5491325699994253,0.05981239294435544,0.05749088313932473,0.06259048544870649,333058.28924760746,309596.66306073987,359096.20266770927,326576.69420696027,303535.11314192164,352103.64296314714,408585.24621875817,380779.98117613303,440011.2054500777,0.48168346351238917,0.4589413530770706,0.5043791955904622,29279.76628655755,24895.289211302683,34301.56413871723,3.646155342781614e-05,3.133397758499635e-05,4.132501311634688e-05,1.8381801507035762,1.401655748121468,2.1203982011900626,44511.52201093611,52742.896274447776
a2c,agent,drift,0.5283584276957984,0.4970934358712047,0.5611554272072318,0.06345129889731767,0.06028112400261292,0.0664536655114836,333458.4825667813,315426.2381163525,355226.8571869871,326870.3034176621,309129.68264207745,348277.88262778544,408421.5803516002,387648.5968621185,433847.45983556035,0.5393960543084374,0.5190590918833946,0.5664435232119196,26729.104341484068,22688.18334172865,31019.963326199275,4.0042942030568976e-05,3.404863860071246e-05,4.579447408678915e-05,1.7639915471996581,1.4580352532380654,2.058198207083414,36226.403722628296,43211.659959361816
a2c,agent,noise,0.5455171277754135,0.5240353439880245,0.564421841210107,0.054312096050716886,0.051613957943858764,0.057668697630383715,368284.858322638,353359.1750040761,380852.8024213741,361340.1673859293,346629.03090388235,373736.4006485402,451951.83146366343,434266.06598573853,466752.5301985113,0.5148216439300057,0.5016018302044875,0.5282047136721888,32238.393413459078,30231.673627737797,34728.77689822527,3.144794880474587e-05,2.940969332953191e-05,3.337573250995809e-05,1.7333928110637815,1.4007918628376503,2.0483733543433367,24948.988539670943,29837.613164761522
a2c,agent,split_policy_dynamics,0.5446160789550674,0.5144022250078466,0.5742150552621768,0.0558145536020651,0.050886835599009625,0.060778376757685985,373418.05619953247,356284.2536512099,394410.6336186905,366349.7841770765,349510.87592223706,386806.2482743402,457756.8895971616,437929.91378520726,481558.2113333504,0.5382273375969824,0.5148100381001948,0.5595908068066868,29085.571409529028,25689.969096905523,32674.65599070593,3.583024117151222e-05,3.207988103447469e-05,3.971114245877822e-05,1.5240574799542521,1.1420183240019528,1.8647651485052632,33131.06546818286,39059.292424531006
a3c,agent,adverse_stress,0.5700975214220708,0.4649808653366498,0.6880773177922878,0.07889008347918604,0.07253289298885654,0.08465206643323286,287112.17731894716,256297.84480568743,320946.44857341243,281043.5153609226,250982.69388423706,313871.3463136261,343607.1809316351,307984.0525731923,378717.2789233619,0.5934317864565194,0.5092827507099638,0.6815482478094357,21815.52401265162,17734.910845078488,26873.348620329714,5.061946102853061e-05,4.360919863692331e-05,5.953552569712881e-05,14.832253481733977,13.494011431354497,16.260605506912384,60122.67607446989,67759.32004855831
a3c,agent,base_market,0.6099223177709082,0.4973109215734647,0.7223891815796698,0.061103889812558466,0.05747912918538896,0.06472910001041837,389042.64461907925,320109.47594173084,458122.9593262087,381576.3572646135,313911.1044944541,449438.1263015075,469172.32339965017,387662.2796225171,550768.2125121945,0.5671932788860389,0.4763478813948936,0.6589157394202703,35715.01272945097,27020.037652746552,44337.76367266135,3.213834517195195e-05,2.6372790413760723e-05,3.8689798604054605e-05,14.887100426754088,13.362415373288295,16.666143900684663,127944.16631971217,151338.7185801305
a3c,agent,class_imbalance_shift,0.5859818619294772,0.47037014689422024,0.7010806547150487,0.06689675729573637,0.06303820625443128,0.07032970161499795,350409.56482207193,288014.96734131686,414587.5800133226,343601.713365251,282362.5379562403,406495.69143927057,421941.9784164997,348824.78405420843,497689.9392028639,0.5288814929484337,0.4449637130445287,0.6125780215794113,32303.997547497653,23807.602166548884,40538.064763215516,3.7484749293218965e-05,2.9644396904169178e-05,4.5532364140845505e-05,14.161360598818012,12.757905317497515,15.658785236725715,118117.034348436,139459.3914757331
a3c,agent,drift,0.5844284214560007,0.4662950436697049,0.6937753966286844,0.06867461108554694,0.06504685257093763,0.0720019959192177,347027.6228408375,284859.54578572494,407699.5788032987,340151.6297920527,279136.2438781203,399682.9105414881,418039.4067655595,344958.4340723976,489157.21682460565,0.5737745699837912,0.47729124013554686,0.663080579852291,30469.891388188127,21501.09961879118,39893.86855978689,4.166641378358689e-05,3.126831502008206e-05,5.35707066665107e-05,13.437266759312543,12.534301978628339,14.554464230063404,113787.90825855224,132971.64123181987
a3c,agent,noise,0.6051280917938902,0.49881915685057565,0.7050045243070838,0.0603049406807667,0.056499557470212076,0.06389599402514995,385685.43875642936,330120.26412906393,444563.7543036542,378400.75751011027,323800.3852490678,436163.149331415,466840.7192332192,401534.81172427913,536332.2751260288,0.5568327986169793,0.47549381885445896,0.6417304622917196,35368.464166307596,28994.748628263067,42951.796364019814,3.120804007170554e-05,2.6071628129252098e-05,3.587605546023449e-05,15.083626316295913,13.514462381389855,17.002690193085723,107240.74843402558,126334.08364423012
a3c,agent,split_policy_dynamics,0.6105935770179769,0.4958261936163378,0.7193543127017039,0.06242453932214421,0.05814488745375722,0.0671220871565745,391834.1943923661,333771.69006886287,446594.1364979058,384351.4454336492,327374.7185972815,438098.0491097337,473054.6572963102,405162.98313784756,537946.8638333889,0.5809398034838312,0.4908311150088933,0.668615078396536,33793.013052213064,26905.006433658007,41604.54906579557,3.346063736295885e-05,2.7491903059294392e-05,3.9260442389813205e-05,15.013031410649711,13.5296203002951,16.74432687151843,109898.51381187594,128794.61590393937
constraint_aware_weekly,baseline,adverse_stress,0.8918066136699335,0.8853820006175409,0.8983857763503424,0.0848061822721196,0.08324988069412889,0.08632742488457346,442388.8518501802,427622.7869444665,452425.565466271,433211.14258351247,418632.9615715861,443086.36438236275,523842.38443902996,505475.1160393647,536189.6228623628,0.8956274106842986,0.8792165188418004,0.9170922425173809,33181.70397365777,30427.293725371594,36196.42604550716,3.110659626172492e-05,2.8207892865029822e-05,3.3883588824940006e-05,8.291088690610964,7.9331104390223715,8.641159210834392,25564.58069148797,31616.55196106097
constraint_aware_weekly,baseline,base_market,0.9608415444558563,0.959147417181088,0.9629439918958324,0.06761393016730959,0.06515995410640728,0.06977190944057651,585825.4069977129,568424.475880314,603516.0633893508,574318.0641811587,557300.8381617231,591674.3515930412,700234.6112268404,678559.1594450576,722195.1483533869,0.8487832102183225,0.8376429993035046,0.8581667651029231,53814.78770895558,51329.083453490246,56269.249018645954,1.8686335351440526e-05,1.7938428136175164e-05,1.9521935699024757e-05,7.102906027811578,6.792851096525569,7.396984200069129,31376.548118429928,38856.09979447326
constraint_aware_weekly,baseline,class_imbalance_shift,0.9496029174650618,0.947260353001777,0.9531998798328312,0.07771723966613252,0.07580306808256053,0.08002869270793705,533107.9795226416,512859.39354980027,551403.1771819857,522336.4309708118,502331.2490758612,540243.9537696239,634972.5641866316,609199.3630122142,657550.3610499607,0.8169673156514063,0.8040756026417516,0.8268080048933145,47390.5067556795,45156.57926455934,50623.869544820365,2.1303773062739683e-05,2.002791856258832e-05,2.2286448725842585e-05,7.884939216794122,7.273737142552019,8.423691012953709,38624.03257504444,48409.33724021719
constraint_aware_weekly,baseline,drift,0.9493753410841258,0.9459435444484244,0.9518772667614647,0.07693629318414903,0.07496543261863611,0.07919205762015448,524417.9946586713,504086.7424894177,538818.5824416827,513991.58521046786,494004.31202292274,528291.1266848152,623026.2507098839,597760.6996482519,640782.9463352809,0.8688904248295307,0.8601463704966228,0.8785076477791339,46489.86048846936,44636.53592522675,48708.950919561314,2.163192302574644e-05,2.0638332237708056e-05,2.2482997883179526e-05,7.497438508965483,7.075866205378614,7.981328413303577,31758.201355954607,39396.32493058116
constraint_aware_weekly,baseline,noise,0.9004930398781896,0.8960403820707887,0.9055201843396935,0.0670311030809394,0.06520247711517739,0.06940874785236782,535834.5831154955,513640.0269886914,560147.4856814543,525338.1373955229,503619.8554743388,549127.5728678177,640951.378713703,613765.874347515,670287.796910042,0.7802277496422251,0.7627743488450168,0.7991789039021087,50900.66049365534,48016.268396708656,54000.12513892123,1.9906196481291434e-05,1.8732878372826513e-05,2.106398598760984e-05,7.418357257574957,7.039792903946479,7.755325914147408,45355.54531979882,55386.049435326415
constraint_aware_weekly,baseline,split_policy_dynamics,0.9526150313973294,0.9503357720344113,0.9549935217406087,0.07297458053849014,0.07054844595606521,0.07572208442405509,577457.0448594531,555437.7453198435,595811.2683841144,565953.4249903066,544229.3949658998,583897.6095619443,689169.7874252173,661976.1091386006,711688.6173524148,0.8615185632504755,0.8514112983180124,0.8716653229075408,49365.75664918716,46603.367390897496,52189.19395922684,2.0409192965163837e-05,1.9312458333788017e-05,2.1570028505014906e-05,7.911840640764479,7.356500511938079,8.495461174081672,36681.87820585875,45098.34583575248
double_dqn,agent,adverse_stress,0.4011708370936577,0.2754084730751245,0.5282804823783956,0.07343884597459577,0.0692514639682722,0.07692407384707477,230768.71116095353,156429.09061935398,306602.01481827244,226061.02092842956,153219.72058684894,300357.3893256885,275578.48762513493,184977.78352104756,369081.51628091896,0.44793303336351364,0.32817602895565273,0.5770501364355728,18043.223288090176,13445.16525848653,23803.46414720252,7.52628724257195e-05,5.434914252946715e-05,9.693140220723338e-05,0.0,0.0,0.0,140127.79550105875,171942.26871169565
